account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,current_plan_tier,current_seats,mrr_amount,arr_amount,billing_frequency,auto_renew_flag,latest_sub_churn_flag,start_date,total_usage_count,avg_usage_count,total_usage_duration_secs,avg_usage_duration_secs,total_error_count,n_usage_events,n_features_used,beta_usage_events,n_tickets,avg_resolution_hours,avg_first_response_min,avg_satisfaction,n_escalations,status,usage_segment,mrr_segment,account_size
A-a8b49c,Company_72,Cybersecurity,UK,2023-10-06,partner,Basic,7,False,False,Pro,7,343,4116,annual,True,False,2024-10-17,545,10.092592592592593,183399,3396.277777777778,43,54,27,1,1.0,72.0,105.0,4.0,0.0,Retained,Medium,Low MRR,Small
A-9174e0,Company_73,Cybersecurity,US,2024-12-04,partner,Basic,37,False,False,Enterprise,37,7363,88356,annual,True,False,2024-12-28,689,9.985507246376812,206138,2987.5072463768115,61,69,34,6,2.0,39.0,167.0,5.0,0.0,Retained,High,High MRR,Large
A-a1bbb6,Company_74,DevTools,CA,2023-04-05,organic,Basic,1,False,False,Pro,15,0,0,annual,True,False,2024-10-04,366,9.891891891891891,118465,3201.7567567567567,20,37,23,7,3.0,17.666666666666668,120.66666666666667,4.0,0.0,Retained,Low,Low MRR,Small
A-c45b23,Company_75,FinTech,UK,2023-12-08,partner,Basic,5,False,False,Enterprise,26,5174,62088,annual,True,True,2024-12-12,581,9.847457627118644,181056,3068.7457627118642,30,59,32,10,3.0,36.666666666666664,51.666666666666664,3.0,0.0,Retained,High,High MRR,Small
A-02cd81,Company_76,HealthTech,IN,2024-03-28,other,Basic,44,False,False,Pro,44,2156,25872,annual,True,False,2024-12-29,684,9.5,219304,3045.8888888888887,28,72,31,5,3.0,17.333333333333332,84.66666666666667,4.5,1.0,Retained,High,High MRR,Large
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13,False,False,Basic,30,570,6840,monthly,True,False,2024-12-22,511,9.462962962962964,150876,2794.0,33,54,31,6,4.0,33.75,98.25,3.0,0.0,Retained,Medium,Medium MRR,Medium
A-432483,Company_78,Cybersecurity,US,2023-02-06,ads,Pro,4,False,False,Pro,31,1519,18228,annual,True,False,2024-11-29,451,10.022222222222222,151460,3365.777777777778,28,45,25,4,1.0,51.0,128.0,,0.0,Retained,Medium,Medium MRR,Small
A-9208f0,Company_79,EdTech,US,2023-05-11,organic,Pro,1,False,True,Basic,17,0,0,annual,True,False,2024-08-09,538,10.150943396226415,158701,2994.3584905660377,31,53,29,6,8.0,41.25,59.75,3.3333333333333335,1.0,Churned,Medium,Low MRR,Small
A-98a59a,Company_80,FinTech,UK,2023-08-04,partner,Enterprise,56,False,False,Pro,56,2744,32928,annual,True,False,2024-10-27,455,10.340909090909092,124429,2827.931818181818,21,44,27,8,3.0,37.333333333333336,74.0,4.5,0.0,Retained,Medium,High MRR,Large
A-fe79a5,Company_81,HealthTech,IN,2024-02-21,ads,Basic,9,True,False,Enterprise,9,1791,21492,annual,True,False,2024-12-26,335,10.151515151515152,96672,2929.4545454545455,17,33,22,2,4.0,28.5,61.0,5.0,0.0,Retained,Low,Medium MRR,Small
A-726cfa,Company_82,DevTools,US,2023-07-01,partner,Pro,11,False,False,Enterprise,38,7562,90744,monthly,False,False,2024-12-16,993,10.13265306122449,281986,2877.408163265306,45,98,40,15,3.0,35.666666666666664,128.33333333333334,4.0,0.0,Retained,High,High MRR,Medium
A-c43359,Company_83,FinTech,US,2024-11-16,organic,Pro,38,False,False,Basic,38,722,8664,monthly,True,False,2024-12-22,461,9.808510638297872,147051,3128.744680851064,32,47,28,5,3.0,26.666666666666668,107.33333333333333,4.0,0.0,Retained,Medium,Medium MRR,Large
A-271f46,Company_84,DevTools,US,2023-02-09,event,Pro,38,False,True,Enterprise,46,9154,109848,monthly,True,False,2024-11-22,373,9.81578947368421,114563,3014.815789473684,16,38,25,1,1.0,36.0,79.0,,0.0,Churned,Low,High MRR,Large
A-157070,Company_85,FinTech,US,2023-11-09,ads,Pro,16,False,False,Basic,38,722,8664,annual,True,True,2024-12-18,696,9.80281690140845,186928,2632.788732394366,26,71,37,7,3.0,42.333333333333336,118.0,3.0,1.0,Retained,High,Medium MRR,Medium
A-40a557,Company_86,Cybersecurity,AU,2023-12-03,partner,Pro,16,True,False,Enterprise,16,3184,38208,monthly,True,False,2024-12-14,402,10.307692307692308,114217,2928.641025641026,17,39,25,3,7.0,30.571428571428573,94.71428571428571,3.6666666666666665,0.0,Retained,Low,High MRR,Medium
A-66224b,Company_87,HealthTech,US,2024-10-18,other,Pro,92,True,False,Enterprise,92,0,0,annual,True,False,2024-12-30,626,10.262295081967213,185229,3036.5409836065573,29,61,34,10,6.0,39.833333333333336,82.5,3.5,0.0,Retained,High,Low MRR,Large
A-91e948,Company_88,EdTech,AU,2023-01-29,partner,Basic,41,False,False,Enterprise,41,8159,97908,monthly,True,False,2024-11-09,404,10.1,115260,2881.5,16,40,23,0,0.0,,,,0.0,Retained,Low,High MRR,Large
A-104f1a,Company_89,Cybersecurity,US,2024-08-17,other,Pro,24,False,False,Basic,34,646,7752,monthly,True,False,2024-12-20,438,9.954545454545455,156949,3567.0227272727275,22,44,28,2,5.0,33.2,50.4,3.75,1.0,Retained,Medium,Medium MRR,Medium
A-7988d1,Company_90,Cybersecurity,US,2023-12-20,other,Basic,33,False,False,Basic,33,0,0,monthly,True,False,2024-12-03,449,9.76086956521739,138265,3005.7608695652175,28,46,31,7,3.0,35.333333333333336,65.33333333333333,4.333333333333333,0.0,Retained,Medium,Low MRR,Large
A-faa28c,Company_91,HealthTech,US,2024-01-30,organic,Enterprise,48,False,False,Pro,48,2352,28224,monthly,True,False,2024-12-25,585,9.915254237288135,162007,2745.8813559322034,24,59,25,5,4.0,52.25,115.5,4.666666666666667,1.0,Retained,High,High MRR,Large
A-f25509,Company_92,EdTech,US,2024-03-22,other,Enterprise,32,False,False,Basic,57,1083,12996,annual,True,False,2024-12-26,229,9.956521739130435,73603,3200.1304347826085,15,23,17,3,6.0,42.666666666666664,116.0,4.666666666666667,0.0,Retained,Low,Medium MRR,Large
A-3a7284,Company_93,FinTech,US,2024-11-17,organic,Enterprise,31,False,False,Pro,31,1519,18228,annual,True,False,2024-12-28,609,10.15,191562,3192.7,30,60,33,9,3.0,56.333333333333336,104.33333333333333,3.5,0.0,Retained,High,Medium MRR,Large
A-3a5ad8,Company_94,HealthTech,US,2023-12-05,organic,Enterprise,9,True,False,Enterprise,22,0,0,annual,True,False,2024-12-25,506,9.73076923076923,127878,2459.1923076923076,23,52,27,7,4.0,44.75,53.5,4.5,0.0,Retained,Medium,Low MRR,Small
A-65a46c,Company_95,HealthTech,US,2023-11-04,event,Pro,1,False,False,Pro,35,1715,20580,annual,True,False,2024-12-24,370,9.736842105263158,115219,3032.0789473684213,21,38,24,7,8.0,45.125,91.125,4.0,0.0,Retained,Low,Medium MRR,Small
A-8b25f2,Company_96,Cybersecurity,US,2024-02-17,ads,Pro,6,False,True,Enterprise,13,2587,31044,monthly,True,False,2024-12-15,565,10.462962962962964,159394,2951.740740740741,20,54,29,6,2.0,35.5,50.5,4.0,0.0,Churned,Medium,High MRR,Small
A-fabe19,Company_97,DevTools,UK,2024-11-11,ads,Enterprise,1,False,False,Enterprise,1,0,0,monthly,False,False,2024-12-26,337,10.212121212121213,112966,3423.212121212121,16,33,20,1,3.0,40.666666666666664,38.333333333333336,4.0,0.0,Retained,Low,Low MRR,Small
A-adc1f3,Company_98,Cybersecurity,US,2024-08-05,organic,Pro,2,False,False,Enterprise,5,995,11940,monthly,True,False,2024-12-21,334,9.277777777777779,120133,3337.027777777778,26,36,24,5,3.0,47.333333333333336,65.0,3.5,0.0,Retained,Low,Medium MRR,Small
A-503d5a,Company_99,FinTech,US,2023-10-21,other,Enterprise,4,False,True,Enterprise,56,11144,133728,annual,False,False,2024-12-19,605,10.254237288135593,211565,3585.8474576271187,32,59,34,6,9.0,36.55555555555556,81.77777777777777,4.0,0.0,Churned,High,High MRR,Small
